hidden_dim,embedding_dim,num_layers,lr,dropout,gamma,alpha,threshold,use_scaler,window_size,epochs,name,Exact Match,Macro F1,Micro F1,Time,Status
128,128,2,0.001,0.4,2.0,0.5,0.5,False,100,5,Emb128-H128-G2.0-A0.5-NoScl,12.476582989883841,18.67872251051757,53.33333333333332,137.40464305877686,Success
256,64,2,0.0005,0.2,3.0,0.75,0.6,False,100,5,Emb64-H256-G3.0-A0.75-NoScl,13.263394529786481,28.303807992907302,56.47761194029851,192.33516216278076,Success
128,128,2,0.0005,0.2,1.0,0.5,0.6,False,100,5,Emb128-H128-G1.0-A0.5-NoScl,13.600599475459,13.476549576143466,52.0795466695178,138.40233182907104,Success
256,128,2,0.001,0.4,1.0,0.5,0.5,False,100,5,Emb128-H256-G1.0-A0.5-NoScl,14.387411015361556,22.133925353715306,56.22281114055703,195.60858702659607,Success
128,128,2,0.0005,0.4,1.0,0.5,0.4,False,100,5,Emb128-H128-G1.0-A0.5-NoScl,10.00374672161859,15.33839196965432,52.68473962551813,138.4484143257141,Success
128,64,2,0.001,0.2,2.0,0.5,0.6,False,100,5,Emb64-H128-G2.0-A0.5-NoScl,13.86286998875981,16.758460609144326,51.683565580437005,104.6072952747345,Success
256,64,2,0.001,0.2,2.0,0.25,0.5,False,100,5,Emb64-H256-G2.0-A0.25-NoScl,15.324091420007468,22.736435530446244,53.25745257452574,191.2018494606018,Success
256,128,2,0.0005,0.4,2.0,0.25,0.5,False,100,5,Emb128-H256-G2.0-A0.25-NoScl,14.724615961034102,15.80533367951866,50.96516529842467,367.1485698223114,Success
256,128,2,0.0005,0.4,1.0,0.5,0.5,False,100,5,Emb128-H256-G1.0-A0.5-NoScl,12.851255151742308,17.483987623068288,54.62471189497945,197.35028505325317,Success
256,128,2,0.001,0.2,1.0,0.25,0.4,False,100,5,Emb128-H256-G1.0-A0.25-NoScl,13.82540277257401,22.143271572249425,54.793521845544966,195.83263182640076,Success
256,128,2,0.0005,0.4,2.0,0.25,0.4,False,100,5,Emb128-H256-G2.0-A0.25-NoScl,12.551517422255554,19.86976252665444,54.440623103378506,367.9381010532379,Success
256,128,2,0.0005,0.2,2.0,0.75,0.5,False,100,5,Emb128-H256-G2.0-A0.75-NoScl,11.202697639565379,34.223749076782234,59.27040906676112,195.60060787200928,Success
256,128,2,0.0005,0.2,2.0,0.25,0.5,False,100,5,Emb128-H256-G2.0-A0.25-NoScl,14.91195204196326,16.212551223391312,51.68588929970752,196.30372977256775,Success
256,128,2,0.0005,0.2,1.0,0.5,0.6,False,100,5,Emb128-H256-G1.0-A0.5-NoScl,14.16260771824653,19.446603250587337,53.39873114037427,368.73381209373474,Success
128,128,2,0.0005,0.2,1.0,0.25,0.6,False,100,5,Emb128-H128-G1.0-A0.25-NoScl,15.399025852379184,9.888484391014067,46.474570179116995,138.7439181804657,Success
256,64,2,0.001,0.4,1.0,0.5,0.4,False,100,5,Emb64-H256-G1.0-A0.5-NoScl,12.401648557512152,26.329437846698124,57.564096620149286,191.88722562789917,Success
128,64,2,0.0005,0.2,2.0,0.25,0.6,False,100,5,Emb64-H128-G2.0-A0.25-NoScl,15.623829149494178,8.67761053686076,43.293801198190486,104.61094903945923,Success
128,128,2,0.0005,0.4,2.0,0.25,0.4,False,100,5,Emb128-H128-G2.0-A0.25-NoScl,13.338328962158133,12.614786529932811,50.988183624385655,138.38587141036987,Success
128,128,2,0.0005,0.2,3.0,0.75,0.5,False,100,5,Emb128-H128-G3.0-A0.75-NoScl,10.303484451105273,26.86616052680296,56.589935050589844,107.84318447113037,Success
128,64,2,0.0005,0.4,1.0,0.25,0.4,False,100,5,Emb64-H128-G1.0-A0.25-NoScl,13.001124016485614,10.437100606999723,48.7389523604225,133.39948081970215,Success
128,64,2,0.001,0.4,1.0,0.75,0.4,False,100,5,Emb64-H128-G1.0-A0.75-NoScl,8.355189209441745,21.139942837575347,54.6426955198091,104.69423341751099,Success
128,64,2,0.0005,0.4,3.0,0.5,0.5,False,100,5,Emb64-H128-G3.0-A0.5-NoScl,10.902959910078685,15.464390027815062,51.65933626549381,133.26534914970398,Success
128,128,2,0.0005,0.4,3.0,0.5,0.5,False,100,5,Emb128-H128-G3.0-A0.5-NoScl,12.176845260397139,15.82050523242233,51.86375967045112,107.4408655166626,Success
128,128,2,0.0005,0.2,3.0,0.25,0.6,False,100,5,Emb128-H128-G3.0-A0.25-NoScl,15.698763581865895,8.426781207832649,42.07568377669539,138.66906094551086,Success
256,128,2,0.0005,0.4,1.0,0.25,0.5,False,100,5,Emb128-H256-G1.0-A0.25-NoScl,15.436493068565028,12.008439984282235,49.34564613902896,196.89655590057373,Success
128,64,2,0.0005,0.2,3.0,0.5,0.5,False,100,5,Emb64-H128-G3.0-A0.5-NoScl,12.214312476582986,20.023262837917116,53.453423566878975,133.42224407196045,Success
128,128,2,0.0005,0.2,3.0,0.5,0.4,False,100,5,Emb128-H128-G3.0-A0.5-NoScl,9.104533533158495,26.44055526419021,56.14474479661455,107.62874031066895,Success
128,128,2,0.0005,0.2,1.0,0.5,0.4,False,100,5,Emb128-H128-G1.0-A0.5-NoScl,11.502435369052073,17.457076622281768,55.66458519179304,138.56142616271973,Success
256,128,2,0.0005,0.2,2.0,0.5,0.6,False,100,5,Emb128-H256-G2.0-A0.5-NoScl,15.661296365680027,21.49215130797146,54.4802099512613,195.22863245010376,Success
128,128,2,0.001,0.4,3.0,0.25,0.6,False,100,5,Emb128-H128-G3.0-A0.25-NoScl,16.6354439865118,7.937197859040536,41.5393393774171,138.81952047348022,Success
128,128,2,0.001,0.4,1.0,0.75,0.6,False,100,5,Emb128-H128-G1.0-A0.75-NoScl,10.15361558636194,18.141101864676155,53.347875569044014,107.04033374786377,Success
128,128,2,0.001,0.2,1.0,0.75,0.5,False,100,5,Emb128-H128-G1.0-A0.75-NoScl,9.816410640689405,24.135900089596927,56.721947776993645,138.8780255317688,Success
256,64,2,0.001,0.4,1.0,0.25,0.4,False,100,5,Emb64-H256-G1.0-A0.25-NoScl,14.462345447733222,15.971686013495253,52.264698128130775,191.06771540641785,Success
128,64,2,0.0005,0.2,3.0,0.25,0.4,False,100,5,Emb64-H128-G3.0-A0.25-NoScl,12.064443611839629,17.505246114612877,53.34183923839434,104.55518341064453,Success
256,64,2,0.0005,0.4,2.0,0.5,0.4,False,100,5,Emb64-H256-G2.0-A0.5-NoScl,11.20269763956536,22.71163716398095,55.83811373594111,360.4221234321594,Success
256,64,2,0.0005,0.4,1.0,0.25,0.6,False,100,5,Emb64-H256-G1.0-A0.25-NoScl,15.6238291494942,10.033462574520554,45.769961977186306,190.43139457702637,Success
128,128,2,0.001,0.2,1.0,0.5,0.4,False,100,5,Emb128-H128-G1.0-A0.5-NoScl,11.614837017609583,21.494486212985535,56.53826303195234,107.15439438819885,Success
128,128,2,0.001,0.2,2.0,0.5,0.5,False,100,5,Emb128-H128-G2.0-A0.5-NoScl,12.626451854627211,23.5071949960413,55.66938531927591,107.36919975280762,Success
256,128,2,0.0005,0.2,3.0,0.5,0.6,False,100,5,Emb128-H256-G3.0-A0.5-NoScl,15.211689771450004,22.916501692641607,53.30777656078861,368.2829236984253,Success
128,64,2,0.0005,0.4,1.0,0.25,0.6,False,100,5,Emb64-H128-G1.0-A0.25-NoScl,13.900337204945684,7.952771038571921,42.65823554447619,104.67745518684387,Success
